"Area","Item","Year","Area harvested","Yield","Production"
"United States of America","Almonds, with shell","1961",36138,16669,60237
"United States of America","Almonds, with shell","1962",37676,11558,43545
"United States of America","Almonds, with shell","1963",39578,13684,54159
"United States of America","Almonds, with shell","1964",41196,16517,68042
"United States of America","Almonds, with shell","1965",47469,13932,66133
"United States of America","Almonds, with shell","1966",47874,16126,77201
"United States of America","Almonds, with shell","1967",50423,13781,69490
"United States of America","Almonds, with shell","1968",54672,12362,67585
"United States of America","Almonds, with shell","1969",60297,18355,110676
"United States of America","Almonds, with shell","1970",68760,16360,112490
"United States of America","Almonds, with shell","1971",76000,15995,121563
"United States of America","Almonds, with shell","1972",80490,14088,113398
"United States of America","Almonds, with shell","1973",86440,14063,121563
"United States of America","Almonds, with shell","1974",93560,18326,171457
"United States of America","Almonds, with shell","1975",100680,14417,145149
"United States of America","Almonds, with shell","1976",104370,20252,211373
"United States of America","Almonds, with shell","1977",111890,20188,225888
"United States of America","Almonds, with shell","1978",124520,10396,129455
"United States of America","Almonds, with shell","1979",131160,21006,275511
"United States of America","Almonds, with shell","1980",132250,18137,239858
"United States of America","Almonds, with shell","1981",132010,22980,303361
"United States of America","Almonds, with shell","1982",137190,18748,257200
"United States of America","Almonds, with shell","1983",145680,12356,180000
"United States of America","Almonds, with shell","1984",154180,28473,439000
"United States of America","Almonds, with shell","1985",165510,21268,352000
"United States of America","Almonds, with shell","1986",168350,11250,189400
"United States of America","Almonds, with shell","1987",168750,29630,5e+05
"United States of America","Almonds, with shell","1988",169560,26356,446900
"United States of America","Almonds, with shell","1989",166330,22317,371200
"United States of America","Almonds, with shell","1990",166330,30049,499800
"United States of America","Almonds, with shell","1991",163900,22648,371200
"United States of America","Almonds, with shell","1992",162280,25401,412200
"United States of America","Almonds, with shell","1993",167130,21767,363800
"United States of America","Almonds, with shell","1994",175230,30246,530000
"United States of America","Almonds, with shell","1995",169160,16316,276000
"United States of America","Almonds, with shell","1996",173200,22258,385500
"United States of America","Almonds, with shell","1997",181220,30295,549000
"United States of America","Almonds, with shell","1998",188600,20838,393000
"United States of America","Almonds, with shell","1999",196800,32063,631000
"United States of America","Almonds, with shell","2000",202340,26342,533000
"United States of America","Almonds, with shell","2001",214483,28402,609178
"United States of America","Almonds, with shell","2002",220554,36275,800051
"United States of America","Almonds, with shell","2003",222577,35325,786262
"United States of America","Almonds, with shell","2004",230671,34074,785985
"United States of America","Almonds, with shell","2005",234718,29969,703431
"United States of America","Almonds, with shell","2006",234718,36049,846131
"United States of America","Almonds, with shell","2007",259002,46830,1212900
"United States of America","Almonds, with shell","2008",275189,51238,1410000
"United States of America","Almonds, with shell","2009",291374,39887,1162200
"United States of America","Almonds, with shell","2010",311608,45371,1413800
"United States of America","Almonds, with shell","2011",323749,56883,1841587
"United States of America","Almonds, with shell","2012",331854,49871,1655000
"United States of America","Almonds, with shell","2013",343983,50375,1732800
"United States of America","Almonds, with shell","2014",352077,43897,1545500
"United States of America","Almonds, with shell","2015",372311,34998,1302998
"United States of America","Almonds, with shell","2016",392550,35061,1376337
"United States of America","Almonds, with shell","2017",416840,35422,1476539
"United States of America","Almonds, with shell","2018",441107,42450,1872500
"United States of America","Apples","1961",184780,139842,2584000
"United States of America","Apples","1962",182390,141510,2581000
"United States of America","Apples","1963",182390,143045,2609000
"United States of America","Apples","1964",182630,156929,2866000
"United States of America","Apples","1965",175270,158906,2785146
"United States of America","Apples","1966",170290,153463,2613313
"United States of America","Apples","1967",166240,147490,2451881
"United States of America","Apples","1968",163450,151143,2470433
"United States of America","Apples","1969",162840,189960,3093302
"United States of America","Apples","1970",162880,178164,2901933
"United States of America","Apples","1971",162760,177612,2890820
"United States of America","Apples","1972",163980,162615,2666565
"United States of America","Apples","1973",161510,175948,2841741
"United States of America","Apples","1974",160250,186239,2984486
"United States of America","Apples","1975",160090,213351,3415533
"United States of America","Apples","1976",163170,179918,2935725
"United States of America","Apples","1977",163250,187260,3057015
"United States of America","Apples","1978",163610,210615,3445880
"United States of America","Apples","1979",164950,223457,3685930
"United States of America","Apples","1980",166810,239794,4e+06
"United States of America","Apples","1981",167900,209090,3510620
"United States of America","Apples","1982",169280,217631,3684060
"United States of America","Apples","1983",171790,221224,3800400
"United States of America","Apples","1984",171140,220621,3775700
"United States of America","Apples","1985",174300,205967,3590000
"United States of America","Apples","1986",179030,199117,3564800
"United States of America","Apples","1987",183040,266204,4872600
"United States of America","Apples","1988",187605,220676,4140000
"United States of America","Apples","1989",194600,232220,4519000
"United States of America","Apples","1990",191600,228601,4380000
"United States of America","Apples","1991",181785,242203,4402885
"United States of America","Apples","1992",184152,260317,4793791
"United States of America","Apples","1993",185933,260668,4846680
"United States of America","Apples","1994",187208,278659,5216721
"United States of America","Apples","1995",187208,256308,4798282
"United States of America","Apples","1996",189211,248884,4709151
"United States of America","Apples","1997",189373,247279,4682797
"United States of America","Apples","1998",188685,279976,5282718
"United States of America","Apples","1999",183809,262360,4822413
"United States of America","Apples","2000",175492,273483,4799416
"United States of America","Apples","2001",165638,258045,4274201
"United States of America","Apples","2002",159770,241996,3866376
"United States of America","Apples","2003",157281,253215,3982586
"United States of America","Apples","2004",154533,305621,4722849
"United States of America","Apples","2005",149354,293587,4384832
"United States of America","Apples","2006",145683,305857,4455819
"United States of America","Apples","2007",142000,290344,4122883
"United States of America","Apples","2008",141151,309247,4365055
"United States of America","Apples","2009",139576,314830,4394267
"United States of America","Apples","2010",136217,309087,4210290
"United States of America","Apples","2011",133870,319842,4281731
"United States of America","Apples","2012",131604,309933,4078839
"United States of America","Apples","2013",130661,362135,4731694
"United States of America","Apples","2014",128763,416171,5358740
"United States of America","Apples","2015",131030,347767,4556790
"United States of America","Apples","2016",133060,391856,5214040
"United States of America","Apples","2017",132820,394569,5240670
"United States of America","Apples","2018",117844,394802,4652500
"United States of America","Apricots","1961",16070,107146,172183
"United States of America","Apricots","1962",15540,96730,150319
"United States of America","Apricots","1963",15580,115581,180075
"United States of America","Apricots","1964",16030,124560,199670
"United States of America","Apricots","1965",15460,132615,205023
"United States of America","Apricots","1966",15180,115638,175539
"United States of America","Apricots","1967",14930,89640,133832
"United States of America","Apricots","1968",14770,91689,135424
"United States of America","Apricots","1969",14730,140788,207381
"United States of America","Apricots","1970",13760,115376,158757
"United States of America","Apricots","1971",13030,129811,169144
"United States of America","Apricots","1972",12460,92905,115760
"United States of America","Apricots","1973",11860,120779,143244
"United States of America","Apricots","1974",12060,70371,84867
"United States of America","Apricots","1975",11980,138273,165651
"United States of America","Apricots","1976",11490,122063,140250
"United States of America","Apricots","1977",11410,117194,133718
"United States of America","Apricots","1978",11290,101408,114490
"United States of America","Apricots","1979",10040,130299,130820
"United States of America","Apricots","1980",10040,116564,117030
"United States of America","Apricots","1981",9430,86002,81100
"United States of America","Apricots","1982",9100,117835,107230
"United States of America","Apricots","1983",8820,95658,84370
"United States of America","Apricots","1984",8460,136395,115390
"United States of America","Apricots","1985",8093,146843,118840
"United States of America","Apricots","1986",7930,62547,49600
"United States of America","Apricots","1987",7770,133591,103800
"United States of America","Apricots","1988",7770,119048,92500
"United States of America","Apricots","1989",7580,143799,109000
"United States of America","Apricots","1990",7420,149710,111085
"United States of America","Apricots","1991",7590,114503,86908
"United States of America","Apricots","1992",7928,121751,96524
"United States of America","Apricots","1993",8413,104973,88314
"United States of America","Apricots","1994",8616,161305,138980
"United States of America","Apricots","1995",8575,64005,54884
"United States of America","Apricots","1996",8733,82376,71939
"United States of America","Apricots","1997",8660,145851,126307
"United States of America","Apricots","1998",8652,124239,107492
"United States of America","Apricots","1999",8248,99539,82100
"United States of America","Apricots","2000",8248,106579,87906
"United States of America","Apricots","2001",7835,95477,74806
"United States of America","Apricots","2002",7017,116406,81682
"United States of America","Apricots","2003",6694,132242,88523
"United States of America","Apricots","2004",6006,152752,91743
"United States of America","Apricots","2005",5641,131308,74071
"United States of America","Apricots","2006",5281,76408,40351
"United States of America","Apricots","2007",5119,156767,80249
"United States of America","Apricots","2008",5038,146953,74035
"United States of America","Apricots","2009",4998,124732,62341
"United States of America","Apricots","2010",4917,122471,60219
"United States of America","Apricots","2011",4796,126072,60464
"United States of America","Apricots","2012",4593,120089,55157
"United States of America","Apricots","2013",4391,126099,55370
"United States of America","Apricots","2014",4379,134508,58901
