"Area","Item","Element","Unit","Year","Year_Value","Flag"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1961",6876.7867,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1962",6980.14,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1963",7136.368,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1964",7251.5884,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1965",7253.3471,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1966",7171.6855,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1967",7125.091,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1968",7105.9045,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1969",7100.0029,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1970",7192.3385,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1971",7312.4556,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1972",7458.4141,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1973",7619.411,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1974",7928.455,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1975",8122.9585,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1976",7882.7585,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1977",7606.8268,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1978",7258.6759,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1979",6967.0824,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1980",7006.024,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1981",7176.1704,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1982",7234.838,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1983",7202.4314,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1984",7094.632,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1985",6899.2465,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1986",6654.728,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1987",6446.555,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1988",6316.81,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1989",6151.979,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1990",6100.821,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1991",6123.3945,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1992",6173.715,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1993",6246.3551,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1994",6334.5251,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1995",6419.1683,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1996",6445.8603,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1997",6339.6906,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1998",6230.7283,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","1999",6191.403,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","2000",6146.0134,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","2001",6096.5949,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","2002",6075.5116,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","2003",6055.0728,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","2004",6001.7445,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","2005",6035.2215,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","2006",6138.1731,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","2007",6137.0377,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","2008",6125.3537,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","2009",6045.9348,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","2010",6008.5861,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","2011",5954.5384,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","2012",5865.1366,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","2013",5805.0675,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","2014",5728.0325,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","2015",5766.9349,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","2016",5922.0989,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","2017",6022.3294,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","2030",6348.2354,"A"
"United States of America","Enteric Fermentation","Emissions (CH4)","gigagrams","2050",6257.4537,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1961",144412.5199,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1962",146582.94,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1963",149863.728,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1964",152283.3569,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1965",152320.2883,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1966",150605.3958,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1967",149626.911,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1968",149223.9942,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1969",149100.0617,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1970",151039.1082,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1971",153561.5671,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1972",156626.6953,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1973",160007.631,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1974",166497.555,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1975",170582.1288,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1976",165537.9288,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1977",159743.3628,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1978",152432.1947,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1979",146308.7304,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1980",147126.504,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1981",150699.5789,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1982",151931.598,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1983",151251.0599,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1984",148987.272,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1985",144884.1768,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1986",139749.288,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1987",135377.655,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1988",132653.01,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1989",129191.559,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1990",128117.241,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1991",128591.2845,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1992",129648.015,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1993",131173.4571,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1994",133025.0261,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1995",134802.5353,"A"
"United States of America","Enteric Fermentation","Emissions (CO2eq)","gigagrams","1996",135363.0663,"A"
