"Area","Year","Enteric Fermentation|CO2","Enteric Fermentation|CH4","Manure Management|CO2","Manure Management|CH4","Manure Management|N2O","Rice Cultivation|CO2","Rice Cultivation|CH4","Synthetic Fertilizers|CO2","Synthetic Fertilizers|N2O","Manure applied to Soils|CO2","Manure applied to Soils|N2O","Manure left on Pasture|CO2","Manure left on Pasture|N2O","Crop Residues|CO2","Crop Residues|N2O","Cultivation of Organic Soils|CO2","Cultivation of Organic Soils|N2O","Burning - Crop residues|CO2","Burning - Crop residues|CH4","Burning - Crop residues|N2O","Burning - Savanna|CO2","Burning - Savanna|CH4","Burning - Savanna|N2O","Agriculture total|CO2","Agriculture total|CH4","Agriculture total|N2O","Agricultural Soils|CO2","Agricultural Soils|N2O"
"United States of America","1961",144412.5199,144412.5199,47609.5973,33244.7194,14364.8779,4726.05,4726.05,19732.9986,19732.9986,14491.1419,14491.1419,38545.1819,38545.1819,12322.2258,12322.2258,NA,NA,2519.855,1822.3952,697.4599,NA,NA,NA,284359.5705,184205.6845,100153.8859,85091.5481,85091.5481
"United States of America","1962",146582.94,146582.94,48966.5229,34318.5825,14647.9404,5269.95,5269.95,23006.8645,23006.8645,14511.9163,14511.9163,39659.3069,39659.3069,12078.6965,12078.6965,NA,NA,2363.1961,1709.0972,654.0989,NA,NA,NA,292439.3932,187880.5697,104558.8235,89256.7842,89256.7842
"United States of America","1963",149863.728,149863.728,48967.1523,34016.6938,14950.4585,5269.95,5269.95,25487.9711,25487.9711,14489.2022,14489.2022,41417.7925,41417.7925,12773.2197,12773.2197,NA,NA,2499.3938,1807.5973,691.7965,NA,NA,NA,300768.4096,190957.9691,109810.4405,94168.1855,94168.1855
"United States of America","1964",152283.3569,152283.3569,48553.0739,33367.3377,15185.7362,5314.05,5314.05,27161.0661,27161.0661,14490.9543,14490.9543,42874.0246,42874.0246,12219.9488,12219.9488,NA,NA,2433.5104,1759.9495,673.5609,NA,NA,NA,305329.985,192724.6941,112605.291,96745.9939,96745.9939
"United States of America","1965",152320.2883,152320.2883,46459.4927,31372.5829,15086.9098,5332.2045,5332.2045,31188.2921,31188.2921,14282.4608,14282.4608,43795.4326,43795.4326,13568.2267,13568.2267,NA,NA,2430.3794,1757.6851,672.6943,NA,NA,NA,309376.7771,190782.7608,118594.0163,102834.4122,102834.4122
"United States of America","1966",150605.3958,150605.3958,44117.9733,29257.0983,14860.8751,5851.2321,5851.2321,35291.7538,35291.7538,13991.7898,13991.7898,44031.6355,44031.6355,13794.4509,13794.4509,NA,NA,2485.3448,1797.4368,687.9079,NA,NA,NA,310169.576,187511.163,122658.413,107109.63,107109.63
"United States of America","1967",149626.911,149626.911,45162.494,30179.9648,14982.5292,5859.861,5859.861,39744.7409,39744.7409,14178.6078,14178.6078,44217.1423,44217.1423,15252.0152,15252.0152,NA,NA,2713.4978,1962.4404,751.0574,NA,NA,NA,316755.27,187629.1772,129126.0928,113392.5062,113392.5062
"United States of America","1968",149223.9942,149223.9942,44861.6908,29964.0946,14897.5962,6999.9489,6999.9489,40740.389,40740.389,13822.1664,13822.1664,44640.0273,44640.0273,15245.2293,15245.2293,NA,NA,2524.6417,1825.8569,698.7847,NA,NA,NA,318058.0876,188013.8946,130044.1929,114447.8119,114447.8119
"United States of America","1969",149100.0617,149100.0617,44868.3243,29928.0366,14940.2878,6330.7094,6330.7094,43677.5548,43677.5548,13787.1688,13787.1688,45091.9833,45091.9833,15234.445,15234.445,NA,NA,2377.9689,1719.7811,658.1878,NA,NA,NA,320468.2161,187078.5887,133389.6275,117791.1519,117791.1519
"United States of America","1970",151039.1082,151039.1082,43917.1151,28851.8623,15065.2528,5397.6416,5397.6416,47525.1674,47525.1674,13796.1163,13796.1163,46217.2017,46217.2017,14364.3534,14364.3534,NA,NA,2416.3603,1747.5463,668.814,NA,NA,NA,324673.064,187036.1584,137636.9056,121902.8388,121902.8388
