"Area","Item","Unit","Year","Flag","Stocks"
"United States of America","Asses","Head","1961","F",15000
"United States of America","Asses","Head","1962","F",15000
"United States of America","Asses","Head","1963","F",15000
"United States of America","Asses","Head","1964","F",16000
"United States of America","Asses","Head","1965","F",16000
"United States of America","Asses","Head","1966","F",16000
"United States of America","Asses","Head","1967","F",18000
"United States of America","Asses","Head","1968","F",18000
"United States of America","Asses","Head","1969","F",18000
"United States of America","Asses","Head","1970","F",19000
"United States of America","Asses","Head","1971","F",19000
"United States of America","Asses","Head","1972","F",19000
"United States of America","Asses","Head","1973","F",20000
"United States of America","Asses","Head","1974","F",20000
"United States of America","Asses","Head","1975","F",20000
"United States of America","Asses","Head","1976","F",20000
"United States of America","Asses","Head","1977","F",21000
"United States of America","Asses","Head","1978","F",21000
"United States of America","Asses","Head","1979","F",21000
"United States of America","Asses","Head","1980","F",21000
"United States of America","Asses","Head","1981","F",23000
"United States of America","Asses","Head","1982","F",23000
"United States of America","Asses","Head","1983","F",23000
"United States of America","Asses","Head","1984","F",24000
"United States of America","Asses","Head","1985",NA,24000
"United States of America","Asses","Head","1986","F",24000
"United States of America","Asses","Head","1987","F",24000
"United States of America","Asses","Head","1988","F",26000
"United States of America","Asses","Head","1989","F",55000
"United States of America","Asses","Head","1990","F",53000
"United States of America","Asses","Head","1991","F",52000
"United States of America","Asses","Head","1992","F",51000
"United States of America","Asses","Head","1993","F",52000
"United States of America","Asses","Head","1994","F",52000
"United States of America","Asses","Head","1995","F",52000
"United States of America","Asses","Head","1996","F",52000
"United States of America","Asses","Head","1997","F",52000
"United States of America","Asses","Head","1998","F",52000
"United States of America","Asses","Head","1999","F",52000
"United States of America","Asses","Head","2000","F",52000
"United States of America","Asses","Head","2001","F",52000
"United States of America","Asses","Head","2002","F",52000
"United States of America","Asses","Head","2003","F",52000
"United States of America","Asses","Head","2004","F",52000
"United States of America","Asses","Head","2005","F",52000
"United States of America","Asses","Head","2006","F",52000
"United States of America","Asses","Head","2007","F",52000
"United States of America","Asses","Head","2008","F",52000
"United States of America","Asses","Head","2009","F",52000
"United States of America","Asses","Head","2010","F",52000
"United States of America","Asses","Head","2011","F",52000
"United States of America","Asses","Head","2012","F",52000
"United States of America","Asses","Head","2013","F",52000
"United States of America","Asses","Head","2014","F",52000
"United States of America","Asses","Head","2015","Im",51988
"United States of America","Asses","Head","2016","Im",51977
"United States of America","Asses","Head","2017","Im",51975
"United States of America","Asses","Head","2018","Im",51973
"United States of America","Beehives","No","1961",NA,5514000
"United States of America","Beehives","No","1962",NA,5506000
"United States of America","Beehives","No","1963",NA,5528000
"United States of America","Beehives","No","1964",NA,5601000
"United States of America","Beehives","No","1965",NA,4718000
"United States of America","Beehives","No","1966",NA,4646000
"United States of America","Beehives","No","1967",NA,4635000
"United States of America","Beehives","No","1968",NA,4539000
"United States of America","Beehives","No","1969",NA,4433000
"United States of America","Beehives","No","1970",NA,4634000
"United States of America","Beehives","No","1971",NA,4107000
"United States of America","Beehives","No","1972",NA,4085000
"United States of America","Beehives","No","1973",NA,4124000
"United States of America","Beehives","No","1974",NA,4210000
"United States of America","Beehives","No","1975",NA,4206000
"United States of America","Beehives","No","1976",NA,4269000
"United States of America","Beehives","No","1977",NA,4323000
"United States of America","Beehives","No","1978",NA,4090000
"United States of America","Beehives","No","1979",NA,4163000
"United States of America","Beehives","No","1980",NA,4141000
"United States of America","Beehives","No","1981",NA,4213000
"United States of America","Beehives","No","1982",NA,4250000
"United States of America","Beehives","No","1983",NA,4275000
"United States of America","Beehives","No","1984",NA,4300000
"United States of America","Beehives","No","1985",NA,4325000
"United States of America","Beehives","No","1986",NA,3205000
"United States of America","Beehives","No","1987",NA,3190000
"United States of America","Beehives","No","1988",NA,3219000
"United States of America","Beehives","No","1989",NA,3443000
"United States of America","Beehives","No","1990",NA,3210000
"United States of America","Beehives","No","1991",NA,3211000
"United States of America","Beehives","No","1992",NA,3045000
"United States of America","Beehives","No","1993",NA,2875000
"United States of America","Beehives","No","1994",NA,2783000
"United States of America","Beehives","No","1995",NA,2655000
"United States of America","Beehives","No","1996",NA,2581000
"United States of America","Beehives","No","1997",NA,2631000
"United States of America","Beehives","No","1998",NA,2637000
"United States of America","Beehives","No","1999",NA,2652000
"United States of America","Beehives","No","2000",NA,2622000
"United States of America","Beehives","No","2001",NA,2550000
"United States of America","Beehives","No","2002",NA,2574000
"United States of America","Beehives","No","2003",NA,2599000
"United States of America","Beehives","No","2004",NA,2554000
"United States of America","Beehives","No","2005",NA,2409000
"United States of America","Beehives","No","2006",NA,2394000
"United States of America","Beehives","No","2007",NA,2443000
"United States of America","Beehives","No","2008",NA,2342000
"United States of America","Beehives","No","2009",NA,2498000
"United States of America","Beehives","No","2010",NA,2692000
"United States of America","Beehives","No","2011",NA,2491000
