"Area","Item","Element","Unit","Year","Year_Value","Flag"
"United States of America","Asses","Stocks","Head","1961",15000,"F"
"United States of America","Asses","Stocks","Head","1962",15000,"F"
"United States of America","Asses","Stocks","Head","1963",15000,"F"
"United States of America","Asses","Stocks","Head","1964",16000,"F"
"United States of America","Asses","Stocks","Head","1965",16000,"F"
"United States of America","Asses","Stocks","Head","1966",16000,"F"
"United States of America","Asses","Stocks","Head","1967",18000,"F"
"United States of America","Asses","Stocks","Head","1968",18000,"F"
"United States of America","Asses","Stocks","Head","1969",18000,"F"
"United States of America","Asses","Stocks","Head","1970",19000,"F"
"United States of America","Asses","Stocks","Head","1971",19000,"F"
"United States of America","Asses","Stocks","Head","1972",19000,"F"
"United States of America","Asses","Stocks","Head","1973",20000,"F"
"United States of America","Asses","Stocks","Head","1974",20000,"F"
"United States of America","Asses","Stocks","Head","1975",20000,"F"
"United States of America","Asses","Stocks","Head","1976",20000,"F"
"United States of America","Asses","Stocks","Head","1977",21000,"F"
"United States of America","Asses","Stocks","Head","1978",21000,"F"
"United States of America","Asses","Stocks","Head","1979",21000,"F"
"United States of America","Asses","Stocks","Head","1980",21000,"F"
"United States of America","Asses","Stocks","Head","1981",23000,"F"
"United States of America","Asses","Stocks","Head","1982",23000,"F"
"United States of America","Asses","Stocks","Head","1983",23000,"F"
"United States of America","Asses","Stocks","Head","1984",24000,"F"
"United States of America","Asses","Stocks","Head","1985",24000,NA
"United States of America","Asses","Stocks","Head","1986",24000,"F"
"United States of America","Asses","Stocks","Head","1987",24000,"F"
"United States of America","Asses","Stocks","Head","1988",26000,"F"
"United States of America","Asses","Stocks","Head","1989",55000,"F"
"United States of America","Asses","Stocks","Head","1990",53000,"F"
"United States of America","Asses","Stocks","Head","1991",52000,"F"
"United States of America","Asses","Stocks","Head","1992",51000,"F"
"United States of America","Asses","Stocks","Head","1993",52000,"F"
"United States of America","Asses","Stocks","Head","1994",52000,"F"
"United States of America","Asses","Stocks","Head","1995",52000,"F"
"United States of America","Asses","Stocks","Head","1996",52000,"F"
"United States of America","Asses","Stocks","Head","1997",52000,"F"
