"Area","Year","Asses|Stocks","Beehives|Stocks","Cattle|Stocks","Chickens|Stocks","Ducks|Stocks","Goats|Stocks","Horses|Stocks","Mules|Stocks","Pigs|Stocks","Sheep|Stocks","Turkeys|Stocks","Cattle and Buffaloes|Stocks","Poultry Birds|Stocks","Sheep and Goats|Stocks"
"United States of America","1961",15000,5514000,97700000,7.51e+08,3500000,3473000,2367000,20000,55560000,32725008,107496000,97700000,861996000,36198008
"United States of America","1962",15000,5506000,100369008,7.82e+08,3400000,3647000,2130000,20000,61837008,30969008,91837000,100369008,877237000,34616008
"United States of America","1963",15000,5528000,104488000,7.8e+08,3700000,3683000,1819000,20000,62726000,29176000,93849000,104488000,877549000,32859000
"United States of America","1964",16000,5601000,107903008,7.92e+08,3600000,3904000,1502000,22000,62060000,27116000,100892000,107903008,896492000,31020000
"United States of America","1965",16000,4718000,1.09e+08,833500000,3600000,4060000,2719000,22000,56106000,25127008,105703000,1.09e+08,942803000,29187008
"United States of America","1966",16000,4646000,108862000,851300000,3600000,4222000,2863000,22000,50519008,24734000,116285000,108862000,971185000,28956000
"United States of America","1967",18000,4635000,108783008,881700000,3700000,3969000,3105000,24000,57125008,23953008,126314000,108783008,1011714000,27922008
"United States of America","1968",18000,4539000,109371008,887400000,3700000,3572000,3475000,24000,58818000,22223008,106512000,109371008,997612000,25795008
"United States of America","1969",18000,4433000,110015008,912700000,3500000,3215000,3758000,24000,60829008,21350000,106529000,110015008,1022729000,24565000
"United States of America","1970",19000,4634000,112369008,920900000,3500000,2572000,4141000,24000,57046000,20423008,116139000,112369008,1040539000,22995008
"United States of America","1971",19000,4107000,114578000,9.25e+08,3500000,2133000,4557000,24000,67285008,19731008,119657000,114578000,1048157000,21864008
"United States of America","1972",19000,4085000,117862000,9.35e+08,3600000,1650000,4556000,25000,62412000,18739008,128664000,117862000,1067264000,20389008
"United States of America","1973",20000,4124000,121539008,9.07e+08,3600000,1775000,4605000,25000,59017008,17641008,132231000,121539008,1042831000,19416008
"United States of America","1974",20000,4210000,127788000,9.09e+08,3400000,1560000,4655000,25000,60614000,16310000,131909000,127788000,1044309000,17870000
"United States of America","1975",20000,4206000,132028000,886800000,3400000,1350000,4705000,25000,54693008,14515000,124165000,132028000,1014365000,15865000
